Original_Color_Name,User_Color_Name,OD,ppm,Unnamed:_4,Vol_taken(ml),Nix_Device,Note,Date_Saved,Illuminant,Observer,Measurement_Mode,L,a,b,L.1,c,h,X,Y,Z,sRGB_R,sRGB_G,sRGB_B
nan,,1.15,1.57169,nan,3.0,nan,nan,nan,nan,2.0,nan,16.8493436,-2.67826062,-6.42486904,16.8493436,6.96074868,247.370775,0.020677675,0.022709424,0.025868477,33.0,43.0,51.0
nan,0.0,0.079,0.0,nan,,nan,nan,nan,nan,2.0,nan,31.7175219,-1.06899182,0.918115976,31.7175219,1.40914174,139.341986,0.066076431,0.069608084,0.055539606,73.0,75.0,73.0
nan,0.2,0.202,0.1726768,nan,,nan,nan,nan,nan,2.0,nan,29.5590651,-1.64698473,-0.856395681,29.5590651,1.85633301,207.473435,0.056957814,0.060582954,0.051646725,66.0,70.0,71.0
nan,0.4,0.377,0.4436468,nan,,nan,nan,nan,nan,2.0,nan,26.8661268,-2.17800569,-2.5093153,26.8661268,3.32270554,229.043061,0.04695648,0.0504625,0.046029339,58.0,65.0,67.0
nan,0.6,0.475,0.59539,nan,,nan,nan,nan,nan,2.0,nan,24.5424246,-2.61472159,-3.86308302,24.5424246,4.66478075,235.907956,0.039345008,0.042692854,0.041400407,52.0,60.0,64.0
nan,0.8,0.611,0.8059724,nan,,nan,nan,nan,nan,2.0,nan,24.0696586,-2.17570986,-3.50844397,24.0696586,4.12830383,238.195489,0.038258874,0.041216676,0.039461882,52.0,58.0,62.0
nan,1.0,0.741,1.0072644,nan,,nan,nan,nan,nan,2.0,nan,21.1699862,-2.80426013,-5.65057286,21.1699862,6.3081573,243.605765,0.030086592,0.032900556,0.034983215,43.0,52.0,59.0
nan,1.2,0.906,1.2627504,nan,,nan,nan,nan,nan,2.0,nan,19.3963367,-2.97069341,-6.53078897,19.3963367,7.1746933,245.540393,0.02582608,0.028411946,0.031807042,38.0,49.0,56.0
nan,1.4,0.975,1.36959,nan,,nan,nan,nan,nan,2.0,nan,19.1168606,-2.65644373,-6.04737081,19.1168606,6.6051031,246.285436,0.025367684,0.027744256,0.030463064,38.0,48.0,55.0
nan,1.6,1.098,1.5600432,nan,,nan,nan,nan,nan,2.0,nan,16.8871211,-2.84020125,-7.28328609,16.8871211,7.81748037,248.696131,0.020678074,0.022787863,0.02702175,32.0,43.0,52.0
nan,,0.373,0.4374532,nan,5.0,nan,nan,nan,nan,2.0,nan,25.7628698,-2.91866949,-2.90388581,25.7628698,4.11718161,224.854524,0.042842565,0.04666562,0.043358435,54.0,62.0,65.0
nan,,0.594,0.7796496,nan,5.0,nan,nan,nan,nan,2.0,nan,23.0583113,-2.84866715,-4.56643154,23.0583113,5.38211868,238.042937,0.034971022,0.03817389,0.038354155,48.0,56.0,62.0
nan,,0.204,0.1757736,nan,5.0,nan,nan,nan,nan,2.0,nan,28.7828723,-1.98281935,-1.24030865,28.7828723,2.33878988,212.027125,0.053788006,0.057538942,0.049806861,64.0,69.0,70.0
nan,,0.153,0.0968052,nan,5.0,nan,nan,nan,nan,2.0,nan,29.7195129,-1.55356208,-0.514444992,29.7195129,1.63652338,198.321721,0.057649437,0.061225285,0.051519382,67.0,71.0,71.0
nan,,0.197,0.1649348,nan,5.0,nan,nan,nan,nan,2.0,nan,28.9334196,-1.94275878,-0.93955481,28.9334196,2.1580257,205.809287,0.054372033,0.058121183,0.049728452,64.0,69.0,70.0
nan,,0.277,0.2888068,nan,5.0,nan,nan,nan,nan,2.0,nan,27.5281211,-2.25197908,-1.92634069,27.5281211,2.96347739,220.543647,0.049133656,0.052836713,0.047045775,60.0,66.0,68.0
nan,,0.173,0.1277732,nan,5.0,nan,nan,nan,nan,2.0,nan,29.5894796,-1.73427117,-0.848923515,29.5894796,1.93089814,206.081689,0.056996266,0.060704367,0.051734515,66.0,71.0,71.0
nan,,0.929,1.2983636,nan,5.0,nan,nan,nan,nan,2.0,nan,18.1799182,-3.32308154,-6.99301149,18.1799182,7.74242085,244.582916,0.023035157,0.025582271,0.029553115,34.0,46.0,54.0
nan,,0.846,1.1698464,nan,5.0,nan,nan,nan,nan,2.0,nan,19.5553789,-3.325479,-6.55677641,19.5553789,7.35187918,243.106697,0.025997751,0.02879665,0.032232932,38.0,49.0,57.0
nan,,0.184,0.1448056,nan,5.0,nan,nan,nan,nan,2.0,nan,29.205384,-1.90167829,-0.853256976,29.205384,2.0843291,204.16512,0.055410809,0.059182938,0.05045996,65.0,70.0,70.0
nan,,0.192,0.1571928,nan,5.0,nan,nan,nan,nan,2.0,nan,29.0972546,-1.83530697,-0.945915532,29.0972546,2.06472949,207.266537,0.055067164,0.058759264,0.050280018,65.0,70.0,70.0
nan,,0.158,0.1045472,nan,5.0,nan,nan,nan,nan,2.0,nan,29.6970914,-1.67455589,-0.661808842,29.6970914,1.80059112,201.564653,0.057457131,0.061135252,0.051731434,67.0,71.0,71.0
nan,,0.17,0.123128,nan,5.0,nan,nan,nan,nan,2.0,nan,29.7016255,-1.50460767,-0.426947132,29.7016255,1.56401026,195.841809,0.057624542,0.061153452,0.051289201,67.0,71.0,71.0
nan,,0.22,0.200548,nan,5.0,nan,nan,nan,nan,2.0,nan,28.7631809,-1.996724,-1.23385085,28.7631809,2.34718867,211.713478,0.053704615,0.057463074,0.049729938,64.0,69.0,70.0
nan,,0.821,1.1311364,nan,5.0,nan,nan,nan,nan,2.0,nan,19.5626879,-3.46277077,-6.46390166,19.5626879,7.33299435,241.821642,0.02594276,0.028814412,0.032118679,38.0,49.0,57.0
nan,,0.189,0.1525476,nan,5.0,nan,nan,nan,nan,2.0,nan,29.278919,-1.85889455,-0.75814106,29.278919,2.00755244,202.187851,0.055721321,0.059472224,0.050520827,66.0,70.0,70.0
nan,,1.069,1.5151396,nan,5.0,nan,nan,nan,nan,2.0,nan,17.0527984,-3.19162194,-7.23401424,17.0527984,7.90679535,246.193095,0.020840469,0.023134,0.027322335,32.0,44.0,52.0
nan,,1.131,1.6111404,nan,5.0,nan,nan,nan,nan,2.0,nan,17.4425127,-3.20639356,-7.12413197,17.4425127,7.81243982,245.768682,0.02159687,0.023961982,0.02804597,33.0,45.0,53.0
nan,,0.808,1.1110072,nan,5.0,nan,nan,nan,nan,2.0,nan,19.4180412,-3.32291191,-6.50703533,19.4180412,7.30638436,242.948212,0.025692348,0.028464244,0.03182635,37.0,49.0,56.0
nan,,0.692,0.9313928,nan,2.0,nan,nan,nan,nan,2.0,nan,22.3008848,-2.9613312,-3.97632065,22.3008848,4.95788346,233.323413,0.032873484,0.035995852,0.035399577,46.0,55.0,59.0
nan,,1.113,1.5832692,nan,2.0,nan,nan,nan,nan,2.0,nan,16.9964774,-3.14549035,-6.25331765,16.9964774,6.99986365,243.297081,0.020752326,0.023015943,0.025969677,33.0,43.0,51.0
nan,,1.454,2.1112736,nan,2.0,nan,nan,nan,nan,2.0,nan,12.8774968,-3.31286469,-8.70326347,12.8774968,9.31245765,249.16086,0.013719374,0.015427824,0.020642631,22.0,35.0,45.0
nan,,0.85,1.17604,nan,2.0,nan,nan,nan,nan,2.0,nan,19.4751106,-3.40243892,-5.67020786,19.4751106,6.61270351,239.033909,0.025778357,0.02860206,0.030794318,38.0,49.0,55.0
nan,,0.504,0.6402936,nan,2.0,nan,nan,nan,nan,2.0,nan,24.2361056,-2.76286423,-2.96638586,24.2361056,4.05374689,227.034477,0.038346629,0.041732447,0.039047359,51.0,59.0,62.0
nan,,0.848,1.1729432,nan,2.0,nan,nan,nan,nan,2.0,nan,20.0284082,-3.0893938,-5.06020325,20.0284082,5.92874447,238.594782,0.027199248,0.029961342,0.031272211,40.0,50.0,56.0
